id;Наименование;URL;Регулярная цена;Промо цена;Бренд
463535;Кофе Egoiste Noir растворимый сублимированный, 100г;https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g;469;599;EGOISTE
517018;Кофе Nescafe Gold растворимый сублимированный, 500г х 12 шт;https://online.metro-cc.ru/products/nescafe-rastvorimyj-sublimirovannyj-gold-500g;16788;-;NESCAFE
471502;Кофе Illy темная обжарка в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g;1149;;ILLY
601742808;Кофе Jardin Колумбия Меделлин растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-kolumbiya-medellin-rastvorimyy;276;-;JARDIN
603221377;Кофе Tchibo Gold selection молотый, 250г;https://online.metro-cc.ru/products/250g-kofe-tchibo-gold-selection-molotyy;279;329;TCHIBO
498071;Кофе Kimbo Aroma Gold Arabica в зернах, 1кг;https://online.metro-cc.ru/products/kimbo-v-zernah-aroma-gold-arabica-1kg;2199;2629;KIMBO
651806;Кофе Egoiste Double Espresso растворимый, 70г;https://online.metro-cc.ru/products/egoiste-double-espresso-70g;249;329;EGOISTE
607505822;RIOBA Кофе в капсулах Dolce Gusto Latte Macciato 8 порций 16 капсул, 192г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-latte-macciato-8-portsiy-16-kapsul-192g-h-3-sht;1587;-;RIOBA
604905195;Кофе Monarch Original растворимый, 210г;https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-210g;499;729;MONARCH
507876;Кофе Egoiste Espresso в зернах, 250г;https://online.metro-cc.ru/products/egoiste-espresso-250g;499;639;EGOISTE
407805;Кофе Jardin Americano Crema в зернах, 1кг;https://online.metro-cc.ru/products/jardin-americano-crema-1000-g;1409;-;JARDIN
604900969;Кофе Illy без кофеина в зернах, 250г;https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-zernovoy-250g;1149;1369;ILLY
395909;Кофе Nescafe Classic Crema растворимый, 95г;https://online.metro-cc.ru/products/nescafe-classic-crema-95-g;239;-;NESCAFE
373136;RIOBA Кофе в капсулах Armonioso для кофемашин Nespresso 11шт, 55г;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-armonioso-10x5g;229;329;RIOBA
608942181;Кофе Alta Roma Rwanda зерновой, 1кг;https://online.metro-cc.ru/products/1kg-kofe-alta-roma-rwanda-zernovoy;2199;2349;ALTA ROMA
208353;Кофе Ambassador Platinum растворимый, 190г;https://online.metro-cc.ru/products/ambassador-platinum-190g;489;;AMBASSADOR
428043;Кофе Carte Noire Original в зернах 800 г;https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g;1249;1329;CARTE NOIRE
595388363;Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт, 184г;https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg;419;469;ABSOLUT
578538;Кофе Jardin Eclair в зернах, 1кг;https://online.metro-cc.ru/products/jardin-eclair-1000g;1689;-;JARDIN
550969018;Кофе Черная Карта в зернах, 250г;https://online.metro-cc.ru/products/250g-kofe-chernaya-karta-zerno;249;295;ЧЕРНАЯ КАРТА
583255;Кофе Carraro Crema Italiano в зернах, 1кг;https://online.metro-cc.ru/products/v-zernah-caffe-carraro-crema-italiano-1-kg;1599;1769;CARRARO
366644;Кофе Egoiste Platinum, 100г;https://online.metro-cc.ru/products/egoiste-platinum-100-g;1099;-;EGOISTE
105294;Кофе Jardin Dessert Сup молотый натуральный жареный, 250г;https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-dessert-sup-250g;559;-;JARDIN
560305485;Кофе Poetti Leggenda Espresso в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-espresso-v-zernah;1399;1669;POETTI
168408;Кофе Julius Meinl Эспрессо в зернах, 500г;https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-grande-espresso-500g;1439;-;JULIUS MEINL
1464910;Напиток кофейный Nescafe Strong 3в1 20 пакетиков, 290г;https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-krepkij;249;309;NESCAFE
578307;Кофе Jardin Dessert Capuccino в зернах, 1кг;https://online.metro-cc.ru/products/jardin-dessert-capuccino-1000g;1689;-;JARDIN
603221212;Кофе Tchibo Gold selection растворимый, 150г;https://online.metro-cc.ru/products/150g-kofe-tchibo-gold-selection-rastvorimyy;399;449;TCHIBO
87725;RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg;1199;1529;RIOBA
658972;Кофе Jacobs Day&Night сублимированный без кофеина, 95г;https://online.metro-cc.ru/products/kofe-jacobs-dayampnight-sublimirovannyy-bez-kofeina-95g;339;-;JACOBS
493348;Кофе Origo Cafe Crema в зернах, 1кг;https://online.metro-cc.ru/products/art-624869;1939;-;ORIGO
541759;Кофе Egoiste Truffle растворимый сублимированный, 95г;https://online.metro-cc.ru/products/kofe-egoiste-truffle-rastvorimyy-sublimirovannyy-95g;999;-;EGOISTE
142229;Кофе Dallmayr Crema d'Oro натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-crema-d-039oro-1kg;2299;-;DALLMAYR
173790;Напиток кофейный MacCoffee The Original coffee mix 3 в 1 растворимый 100 пакетиков, 2кг;https://online.metro-cc.ru/products/maccoffee-napitok-kofejnyj-porcionnyj-the-original-coffee-mix-3v1-100-20g;1349;1429;MACCOFFEE
601629458;Кофе Fresco Arabica blend растворимый, 190г;https://online.metro-cc.ru/products/kofe-fresco-arabica-blend-rastvorimyy-190g;449;529;FRESCO
600926926;Кофе Jacobs Crema растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-jacobs-crema-rastvorimyy-stb;349;;JACOBS
368959153;Кофе Egoiste Private растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-egoiste-private-rastvorimyy;1099;-;EGOISTE
607441525;Кофе в капсулах Monarch Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-monarch-lungo-8-intenso-molotyy-kapsuly;299;369;MONARCH
389470;Кофе Ambassador Nero Espresso Roast в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg;799;899;AMBASSADOR
493053;Кофе Origo Grande Barista в зернах, 1кг;https://online.metro-cc.ru/products/art-624874;2899;-;ORIGO
559914;Кофе Dallmayr Classic молотый, 250г;https://online.metro-cc.ru/products/dallmayr-classic-250-g;509;-;DALLMAYR
607273859;Кофе Monarch Original жареный в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-monarch-original-zharenyy-v-zyornah;1299;1499;MONARCH
600955609;Напиток кофейный MacCoffee Latte карамель порционный (22г x 20шт), 440г;https://online.metro-cc.ru/products/20shth22g-kofe-maccoffee-latte-karamel-portsionnyy;309;369;MACCOFFEE
629608;Кофе Nescafe Classic растворимый, 320г;https://online.metro-cc.ru/products/320g-nescafe-classic-paket;499;569;NESCAFE
600784860;Кофе в капсулах Carte Noire Riche Espresso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-riche-espresso-v-kapsulah;379;449;CARTE NOIRE
591994062;Кофе в капсулах Carraro Dolci arabica для кофемашин Nespresso 10шт, 55г;https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-dolci-arabica;369;439;CARRARO
612107;Кофе в капсулах Jardin Vanillia Rich&Sweet для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-vanillia;279;399;JARDIN
600926871;Кофе Alta Roma Caffe Latte в зернах, 1кг;https://online.metro-cc.ru/products/kofe-alta-roma-caffe-latte-v-zernakh-1kg;989;1059;ALTA ROMA
567389;Кофе Nescafe Classic растворимый, 95г;https://online.metro-cc.ru/products/nescafe-classic-naturalnyj-st-b-95g;219;239;NESCAFE
538580;Кофе Illy Guatemala arabica selection в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-guatemala-zh-b-250-g;1149;;ILLY
573978677;Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno;1859;-;JULIUS MEINL
614756;RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-intenso-11x5g-120484;2790;-;RIOBA
87726;RIOBA Кофе в зернах натуральный жареный 80:20, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg;1149;1529;RIOBA
478821;Кофе Egoiste Noir молотый, 250г x 12 шт;https://online.metro-cc.ru/products/egoiste-noir-250g;8028;-;EGOISTE
603237407;Кофе Fresco Horeca arabica в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno;1099;1419;FRESCO
603139926;Кофе Verle Africa в дрип-пакетах 6шт, 66г;https://online.metro-cc.ru/products/6shth11g-kofe-verle-africa-v-drip-paketah;439;-;VERLE
119162;aro Кофе растворимый сублимированный, 80г;https://online.metro-cc.ru/products/sublimirovannyj-aro-80g;189;-;ARO
605166189;Кофе Miscela D'Oro Espresso Intenso в зернах, 1кг;https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-intenso-v-zernah-1kg;1599;1839;MISCELA D'ORO
605168859;Кофе в капсулах Lavazza Crema E Gusto Classico для кофемашин Nespresso 10шт, 57г;https://online.metro-cc.ru/products/kofe-lavazza-crema-e-gusto-classico-10-kapsul-57g;609;-;LAVAZZA
123104;Кофе Nescafe Gold растворимый, 190г;https://online.metro-cc.ru/products/nescafe-gold-190g;599;699;NESCAFE
605972;Кофе в капсулах L’or Espresso Ristretto для кофемашин Nespresso 10шт, 52г x 10 шт;https://online.metro-cc.ru/products/52g-l-rsquoor-ristretto;3990;-;L'OR
566517;Кофе в капсулах Jacobs Espresso №10 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/jacobs-espresso-10-intenso-10sht;297;-;JACOBS
102943;Кофе Jacobs Monarch Intense крепкий растворимый сублимированный, 95г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-intense-krepkij-95g;299;419;JACOBS
614825;RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g-120485;2790;-;RIOBA
595932068;Кофе Monarch Original растворимый, 47.5г;https://online.metro-cc.ru/products/475g-kofe-monarch-original-rastvorimyy-st;179;237;MONARCH
552327;Кофе Julius Meinl Юбилейный молотый, 250г;https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-250-g;569;-;JULIUS MEINL
478245;Кофе Jardin Americano Crema натуральный жареный молотый, 250г;https://online.metro-cc.ru/products/jardin-almericano-crema-naturalnyj-zharenyj-250g;489;-;JARDIN
313874875;Кофе Lavazza Expert Crema-Aroma в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-cremaaroma-v-zernah;2209;-;LAVAZZA
510964;Кофе в капсулах L’or Espresso Forza для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/l-rsquoor-espr-forza-52-g;379;399;L'OR
592003517;Кофе в капсулах Lebo Espresso Collection для кофемашин Nespresso 40шт, 220г;https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-collection-banka;1190;1419;LEBO
463263;Кофе Ambassador Platinum в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg;999;1189;AMBASSADOR
600954874;Напиток кофейный MacCoffee Capuccino Dolce Vita порционный (24г x 20шт), 480г;https://online.metro-cc.ru/products/20shth24g-kofe-maccoffee-cappuccino-dolce-vita-portsionnyy;299;369;MACCOFFEE
87727;RIOBA Кофе в зернах натуральный жареный Silver, 1кг;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg;1049;1449;RIOBA
366062;Кофе Bushido Black Katana растворимый, 100г;https://online.metro-cc.ru/products/bushido-sublimirovannyj-black-katana-100g;1039;-;BUSHIDO
595932013;Кофе Monarch Gold растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-monarch-gold-rastvorimyy-st;359;379;MONARCH
407963;Кофе Jacobs Monarch классический растворимый сублимированный, 240г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-klassicheskij-240g;1019;-;JACOBS
601742838;Кофе Piazza del Caffe Espresso Forte в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-piazza-del-caffe-espresso-forte-zerno;1179;-;PIAZZA DEL CAFFE
604934011;Кофе Torabika Brown растворимый (25г x 20шт), 500г;https://online.metro-cc.ru/products/20shtx25g-kofe-torabica-braun-rastvorimyy;279;293;TORABIKA
608586466;Кофе Fresco Espresso Italiano зерновой, 900г;https://online.metro-cc.ru/products/kofe-fresco-espresso-italiano-zernovoy-900g;949;1049;FRESCO
601245368;Кофе Italco Espresso Italiano в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-italiano-v-zernah;1499;1789;ITALCO
601627753;Кофе Fresco Arabica blend молотый, 250г;https://online.metro-cc.ru/products/kofe-fresco-arabica-blend-molotyy-250g;299;339;FRESCO
560870;Кофе Egoiste Espresso в зернах, 1кг;https://online.metro-cc.ru/products/egoiste-espresso-1000g;1599;2349;EGOISTE
562653085;Кофе Jacobs Brazilian Selection растворимый, 180г;https://online.metro-cc.ru/products/180g-kofe-jacobs-brazilian-selection-rastvorimyy;599;709;JACOBS
533887;Кофе Jacobs Espresso жареный в зернах, 1кг;https://online.metro-cc.ru/products/jacobs-espresso-zernovoj-1kg;1409;-;JACOBS
537072;Кофе Egoiste Noir растворимый сублимированный, 100г х 12 шт;https://online.metro-cc.ru/products/carte-noire-egoist-rastvorimyj-sublimirovannyj-100-g;7188;-;EGOISTE
