id;Наименование;URL;Регулярная цена;Промо цена;Бренд
957950;Конфеты «Коровка» шоколадные вафельные, 250 г;https://www.auchan.ru/product/konfety-korovka-shokoladnye-vafelnye-250-g/;174.99;-;Коровка
130799;Конфета протеиновая JUMP Лесной орех, 30 г;https://www.auchan.ru/product/konf-prot-jump-lesnoy-oreh-30g/;119.96;-;-
969324;Конфеты АШАН Красная птица глазированные вафельные с миндалем, вес;https://www.auchan.ru/product/kp-vaf-konf-s-mindalem-ves/?utm_referrer=https%3A%2F%2Fyandex.by%2F;66.4;-;-
871642;Конфеты Ласточкина Почта, вес;https://www.auchan.ru/product/lastochkina-pochta/;57.2;-;-
871901;Конфеты «АККОНД» Трио с печеньем карамелью и начинкой со вкусом пломбира, вес;https://www.auchan.ru/product/akkond-kon-trio-so-vk-plombir/;590.0;-;АККОНД
581289;Конфеты «АККОНД» Отломи, вес;https://www.auchan.ru/product/konfety_otlomi_ves/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;67.2;-;АККОНД
40758;Конфеты «Атаг» Чудно яичко, 150 г;https://www.auchan.ru/product/konfety-chudno-yaichko-150-gr/;288.99;99.95;Атаг
810446;Конфеты «Коровка» вафельная молочная, вес;https://www.auchan.ru/product/konfkorovka_molochnaya_1kg/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;58.4;-;Коровка
927724;Конфеты «Бабаевский» целый фундук и ореховый крем, 200 г;https://www.auchan.ru/product/konfety-babaevskiy-celyy-funduk-i-orehovyy-krem-200-g/;630.99;199.95;Бабаевский
240794;Конфеты RAFFAELLO, 40 г;https://www.auchan.ru/product/rafaello-konf-t4-40g/;106.99;-;RAFFAELLO
254696;Конфеты «Фабрика имени Крупской» Адмиралтейские, 200 г;https://www.auchan.ru/product/admiralteyskie_200g/;263.99;-;Фабрика имени Крупской
98224;Конфеты АШАН Красная птица Брауни, вес;https://www.auchan.ru/product/kp-konfety-brauni-ves/;56;-;-
465503;Конфеты шоколадные «Вольская конфета» на сливках в глазури, вес;https://www.auchan.ru/product/konf_volskaya_v_glaz_ves/;53.0;-;Вольская конфета
189022;Конфеты «Красный октябрь» Красная шапочка, 250 г;https://www.auchan.ru/product/konfety-krasnyy-oktyabr-krasnaya-shapochka-250-g/;382.99;199.9;Красный октябрь
499398;Конфеты картошка, вес;https://www.auchan.ru/product/konf-kartoshka-ves/;63.1;453.0;-
98203;Конфеты вафельные АШАН Красная птица Шоколадные, вес;https://www.auchan.ru/product/kp-konfety-vaf-shokoladnye-ves/;439.99;-;АШАН Красная птица
536428;Конфеты шоколадные «Славянка» Медунок с орехом, вес;https://www.auchan.ru/product/medunok_s_orehom_ves/;60.4;-;Славянка
