id;Наименование;URL;Регулярная цена;Промо цена;Бренд
810443;Конфеты «Красный октябрь» Мишка косолапый медовый грильяж, вес;https://www.auchan.ru/product/konfmishka_medgrilyazh_1kg/?erid=LatgBq7xt&utm_medium=cpc&utm_source=yandex&utm_campaign=nonb_rem_smartbanners_all-regions|100022941&utm_term=&utm_content=k50id|010000002850120_2850120|cid|100022941|gid|5325882179|aid|15314507067|adp|no|pos|none0|src|context_dzen.ru|dvc|mobile|main&k50id=010000002850120_2850120&yclid=14972061364606205951&utm_referrer=https%3A%2F%2Fdzen.ru%2F;83;-;Красный октябрь
101777;Конфета «АККОНД» Золотая пора, вес;https://www.auchan.ru/product/konfeta-zolotaya-pora-ves/;53;-;АККОНД
527248;Конфеты шоколадные «Победа вкуса» трюфели, вес;https://www.auchan.ru/product/konf_tryuf_shokoladnye_050_ves/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;92.7;-;Победа вкуса
6788;Конфеты «АККОНД» Леди Ночь с кокосом, вес;https://www.auchan.ru/product/kon-ledi-noch-s-kokosom-ves/;66.5;429.0;АККОНД
79878;Конфеты АШАН Красная птица глазированные Банановое суфле, вес;https://www.auchan.ru/product/kp-bananovoe-sufle-ves/;59;-;АШАН Красная птица
112247;Конфеты «Сладуница» Кокосовый риф, вес;https://www.auchan.ru/product/konf-kokosovyy-rif-ves/;47.9;-;Сладуница
991525;Конфеты шоколадные «Фабрика имени Крупской» Грильяж  200 г;https://www.auchan.ru/product/grilyazh-krupskoy-200g/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;197.99;-;Фабрика имени Крупской
68105;Конфеты детям, вес;https://www.auchan.ru/product/konfety-detyam-ves/;53.9;-;-
971146;Конфеты «Пекарь» Балтийский, вес;https://www.auchan.ru/product/konfeta-baltiyskiy-ves/;94.8;33.9;Пекарь
146344;Конфеты «АККОНД» Картошка со вкусом вишни, вес;https://www.auchan.ru/product/konf-kartoshka-vishn-akkond-ves/;72.04;54.3;АККОНД
13838;Конфеты «Атаг» Слеза мужчины, вес;https://www.auchan.ru/product/konfety-sleza-muzhchiny-ves/;62.8;49.9;Атаг
837689;Конфеты «Бабаевский» Бабаевские трюфельный крем с цельным миндалем, вес;https://www.auchan.ru/product/konfbabaevsktryufkrem_1kg/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;120.5;82.9;Бабаевский
455901;Конфеты «Победа вкуса» трюфели шоколадные с ликером Айриш крем, 180 г;https://www.auchan.ru/product/pobeda_konf_tryuf_lik_ircr_180g/?page=9;499.99;319;Победа вкуса
871903;Шоколад молочный «АККОНД» Шоко-кроко со злаками, вес;https://www.auchan.ru/product/akkond-shoko-kroko-so-zlakami-1/;115.4;777.0;АККОНД
558642;Конфеты вафельные «Славянка» Обыкновенное чудо, вес;https://www.auchan.ru/product/obyknovennoe_chudo_sliv_kremv/;76.8;-;Славянка
207644;Конфеты «СТЕП» Золотой, вес;https://www.auchan.ru/product/zolotoy_step_konfety__1kg/;53.95;-;СТЕП
72487;Конфеты «Славянка» Ананасовая долина, 200 г;https://www.auchan.ru/product/konfety-ananasnaya-dolina-200g/;151.99;-;Славянка
499262;Конфеты «Красный октябрь» Красный мак, вес;https://www.auchan.ru/product/konf_krasnyy_mak_ves/;102.1;-;Красный октябрь
